id,k,weight
ctrnact-12_34-4p_4s2_5c5_6f_6i3-17,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-18,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-19,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-2,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-20,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-21,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-22,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-23,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-24,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-25,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-26,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-27,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-28,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-29,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-3,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-30,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-31,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-32,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-33,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-34,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-35,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-36,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-37,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-38,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-39,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-4,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-40,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-41,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-42,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-43,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-44,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-45,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-46,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-47,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-48,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-49,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-5,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-50,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-51,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-52,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-53,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-54,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-55,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-56,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-57,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-58,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-59,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-6,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-60,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-7,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-8,12,22
ctrnact-12_34-4p_4s2_5c5_6f_6i3-9,12,22
ctrnact-12_34-4p_4s2_5c5_6i4-1,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-10,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-11,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-12,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-13,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-14,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-15,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-16,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-17,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-18,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-19,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-2,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-20,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-21,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-22,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-23,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-24,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-25,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-26,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-27,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-28,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-29,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-3,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-30,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-31,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-32,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-33,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-34,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-35,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-36,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-37,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-38,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-39,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-4,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-40,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-41,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-42,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-43,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-44,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-45,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-46,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-47,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-48,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-49,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-5,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-50,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-51,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-52,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-53,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-54,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-55,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-56,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-57,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-58,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-59,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-6,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-60,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-61,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-62,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-63,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-64,12,23
ctrnact-12_34-4p_4s2_5c5_6i4-65,12,23
